ts,bayId,T,RH,soil_theta,PPFD,CO2,ext_T,irrigation_liters,pump_on
2025-08-24 00:00:00,A1,29.3,62.1,0.35,-7.9,383.8,33.0,0.0,0
2025-08-24 00:10:00,A1,28.69,59.58,0.3485,-60.1,394.8,32.77,0.0,0
2025-08-24 00:20:00,A1,28.92,63.94,0.3461,19.1,398.5,32.54,0.0,0
2025-08-24 00:30:00,A1,29.21,62.35,0.3448,-37.2,399.8,32.3,0.0,0
2025-08-24 00:40:00,A1,27.91,66.76,0.3444,1.8,391.3,32.05,0.0,0
2025-08-24 00:50:00,A1,27.66,61.87,0.3437,8.3,395.0,31.8,0.0,0
2025-08-24 01:00:00,A1,28.5,67.35,0.3426,40.8,374.1,31.55,0.0,0
2025-08-24 01:10:00,A1,27.76,64.91,0.3417,-39.3,388.1,31.3,0.0,0
2025-08-24 01:20:00,A1,26.76,63.83,0.3406,-90.6,396.4,31.04,0.0,0
2025-08-24 01:30:00,A1,27.11,64.77,0.3398,5.5,384.4,30.78,0.0,0
2025-08-24 01:40:00,A1,26.24,65.7,0.3393,54.0,392.3,30.52,0.0,0
2025-08-24 01:50:00,A1,25.98,67.77,0.3376,37.2,395.0,30.26,0.0,0
2025-08-24 02:00:00,A1,26.15,68.55,0.3369,6.3,388.3,30.0,0.0,0
2025-08-24 02:10:00,A1,24.59,66.91,0.3366,-14.7,392.1,29.74,0.0,0
2025-08-24 02:20:00,A1,24.44,68.55,0.3356,24.2,382.8,29.48,0.0,0
2025-08-24 02:30:00,A1,24.88,73.42,0.3352,-29.2,388.6,29.22,0.0,0
2025-08-24 02:40:00,A1,24.35,73.1,0.3358,14.3,395.0,28.96,0.0,0
2025-08-24 02:50:00,A1,24.89,71.01,0.3349,15.2,391.3,28.7,0.0,0
2025-08-24 03:00:00,A1,23.9,70.68,0.3344,31.8,385.3,28.45,0.0,0
2025-08-24 03:10:00,A1,23.35,71.3,0.3332,82.8,391.8,28.2,0.0,0
2025-08-24 03:20:00,A1,24.83,72.72,0.3325,11.8,395.8,27.95,0.0,0
2025-08-24 03:30:00,A1,23.57,69.85,0.332,-15.3,373.9,27.7,0.0,0
2025-08-24 03:40:00,A1,23.5,71.77,0.3313,-0.8,399.7,27.46,0.0,0
